Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-07-21,The Imitation Game,2014,https://boxd.it/4xZFbP,4.5,,,2023-07-17
2023-07-21,Shutter Island,2010,https://boxd.it/4xZrtl,4,,,2023-07-18
2023-08-01,The Fast and the Furious: Tokyo Drift,2006,https://boxd.it/4CLEcp,3.5,,,2023-07-18
2023-07-21,The Theory of Everything,2014,https://boxd.it/4xZF7N,4,,,2023-07-19
2023-09-20,The Lodge,2019,https://boxd.it/4RZmOX,3,,,2023-07-19
2023-07-21,Split,2016,https://boxd.it/4xZrhz,4.5,,,2023-07-20
2023-07-21,Oppenheimer,2023,https://boxd.it/4y9u8Z,5,,,2023-07-20
2023-07-21,[REC],2007,https://boxd.it/4xZsNL,4,,,2023-07-21
2023-07-21,Barbie,2023,https://boxd.it/4ydWaR,3.5,,,2023-07-21
2023-07-21,The Flash,2023,https://boxd.it/4ydWhj,2,,,2023-07-21
2023-07-21,The Menu,2022,https://boxd.it/4ydWw9,4,,,2023-07-21
2023-07-21,Bullet Train,2022,https://boxd.it/4ydWHh,3.5,,,2023-07-21
2023-07-21,Bodies Bodies Bodies,2022,https://boxd.it/4ydWRr,3,,,2023-07-21
2023-07-21,Hereditary,2018,https://boxd.it/4ydXsn,4.5,,,2023-07-21
2023-07-21,Blade Runner 2049,2017,https://boxd.it/4ydXzt,3,,,2023-07-21
2023-07-21,Get Out,2017,https://boxd.it/4ydXTN,3.5,,,2023-07-21
2023-07-21,Your Name.,2016,https://boxd.it/4ydZWp,3.5,,,2023-07-21
2023-07-21,Zodiac,2007,https://boxd.it/4ye4RT,5,,,2023-07-21
2023-07-21,Saw,2004,https://boxd.it/4ye5eX,5,,,2023-07-21
2023-07-21,Fight Club,1999,https://boxd.it/4ye5tD,4,Yes,,2023-07-21
2023-07-21,Titanic,1997,https://boxd.it/4ye5HP,4,,,2023-07-21
2023-07-21,Top Gun,1986,https://boxd.it/4ye60R,3.5,,,2023-07-21
2023-07-21,The Hunger Games,2012,https://boxd.it/4yeaNj,4,Yes,,2023-07-21
2023-07-21,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4yebwX,3,Yes,,2023-07-21
2023-07-21,The Hunger Games: Catching Fire,2013,https://boxd.it/4yebKF,4,Yes,,2023-07-21
2023-07-21,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4yebVN,3.5,Yes,,2023-07-21
2023-07-21,Midsommar,2019,https://boxd.it/4yeeMJ,3.5,,,2023-07-21
2023-07-21,Arrival,2016,https://boxd.it/4yefP5,5,,,2023-07-21
2023-07-21,Inside Out,2015,https://boxd.it/4yej51,3.5,,,2023-07-21
2023-07-21,It,2017,https://boxd.it/4yejNd,4,,,2023-07-21
2023-07-21,The Black Phone,2021,https://boxd.it/4yeqMh,3.5,,,2023-07-21
2023-07-22,The Thing,2011,https://boxd.it/4yoeP9,2.5,,,2023-07-21
2023-07-22,Happy Death Day,2017,https://boxd.it/4yotY1,3.5,,,2023-07-21
2023-07-22,Haunt,2019,https://boxd.it/4yoyg9,3,,,2023-07-21
2023-07-22,The Taking of Deborah Logan,2014,https://boxd.it/4yoz49,2,,,2023-07-21
2023-07-22,Paranormal Activity,2007,https://boxd.it/4yoBCn,2.5,,,2023-07-21
2023-07-22,Paranormal Activity 2,2010,https://boxd.it/4yoC5T,2.5,,,2023-07-21
2023-07-22,Paranormal Activity 3,2011,https://boxd.it/4yoCvd,2,,,2023-07-21
2023-07-22,Paranormal Activity 4,2012,https://boxd.it/4yoDhh,2,,,2023-07-21
2023-07-22,The Conjuring,2013,https://boxd.it/4yoIZD,3,,,2023-07-21
2023-07-22,The Night House,2020,https://boxd.it/4yoLm5,3.5,,,2023-07-21
2023-07-22,The Conjuring 2,2016,https://boxd.it/4yoLZV,3,,,2023-07-21
2023-07-22,Annabelle: Creation,2017,https://boxd.it/4yoM6x,3,,,2023-07-21
2023-07-22,Annabelle,2014,https://boxd.it/4yoMiN,1.5,,,2023-07-21
2023-07-22,Grave Encounters 2,2012,https://boxd.it/4yoOj9,2,,,2023-07-21
2023-07-22,It Chapter Two,2019,https://boxd.it/4yoQPB,3,,,2023-07-21
2023-07-22,Coherence,2013,https://boxd.it/4yoS0l,4,,,2023-07-21
2023-07-22,Haunted Hospital: Heilstatten,2018,https://boxd.it/4yoTph,1,,,2023-07-21
2023-07-22,World War Z,2013,https://boxd.it/4yoUPv,3.5,,,2023-07-21
2023-07-22,I Am Legend,2007,https://boxd.it/4yoVrf,4,,,2023-07-21
2023-07-22,Concussion,2015,https://boxd.it/4yoYpB,3,,,2023-07-21
2023-07-22,After Earth,2013,https://boxd.it/4yoYCF,0.5,,,2023-07-21
2023-07-22,The Good Nurse,2022,https://boxd.it/4yoZR7,2.5,,,2023-07-21
2023-07-22,The Babadook,2014,https://boxd.it/4yp1Yp,4,,,2023-07-21
2023-07-22,The Maze Runner,2014,https://boxd.it/4yp2sJ,4,,,2023-07-21
