Date,Name,Year,Letterboxd URI
2023-07-22,A Haunting in Venice,2023,https://boxd.it/zGdg
2023-07-22,Ad Astra,2019,https://boxd.it/ePzI
2023-07-22,Glass Onion,2022,https://boxd.it/oCkK
2023-07-27,Gerald's Game,2017,https://boxd.it/buKa
2023-07-29,Halloween,2018,https://boxd.it/f0uE
2023-07-29,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2023-07-29,The Virgin Suicides,1999,https://boxd.it/28JG
2023-07-31,Fresh,2022,https://boxd.it/tCNi
2023-07-31,Watcher,2022,https://boxd.it/uocO
2023-07-31,Poltergeist,1982,https://boxd.it/2a0o
2023-07-31,The Ring,2002,https://boxd.it/2a70
2023-07-31,Last Shift,2014,https://boxd.it/9nda
2023-07-31,Poltergeist,2015,https://boxd.it/79UK
2023-07-31,Harakiri,1962,https://boxd.it/1NTU
2023-08-03,Rosemary's Baby,1968,https://boxd.it/29zM
2023-08-07,Sunshine,2007,https://boxd.it/28Xy
2023-08-29,The Master,2012,https://boxd.it/2cBG
2023-09-04,The Last Days,2013,https://boxd.it/5cDe
2023-09-08,Orphan: First Kill,2022,https://boxd.it/sxZc
2023-09-16,Contagion,2011,https://boxd.it/13rq
2023-09-20,The House of the Devil,2009,https://boxd.it/1uIe
2023-09-20,Sleep Tight,2011,https://boxd.it/2GjC
2023-09-20,The Perfect Host,2010,https://boxd.it/8QI
2023-09-20,The Guest,2014,https://boxd.it/76RS
2023-09-20,Time Lapse,2014,https://boxd.it/8hCQ
2023-09-20,You're Next,2011,https://boxd.it/2WWK
2023-09-24,The Signal,2014,https://boxd.it/77hc
2023-09-25,Black Christmas,1974,https://boxd.it/1Js6
2023-09-25,Deep Red,1975,https://boxd.it/1E1E
2023-09-25,Hellraiser,2022,https://boxd.it/bg7S
2023-10-01,Okja,2017,https://boxd.it/dvXe
2023-10-02,Beau Is Afraid,2023,https://boxd.it/u2gE
2023-10-02,My Bloody Valentine,2009,https://boxd.it/1O6E
2023-10-02,Banshee Chapter,2013,https://boxd.it/6dJ0
2023-10-02,Candyman,1992,https://boxd.it/1Ys6
2023-10-02,Suspiria,2018,https://boxd.it/cioI
2023-10-03,Triangle of Sadness,2022,https://boxd.it/hXlq
2023-10-03,Kingdom of Heaven,2005,https://boxd.it/28Gs
2023-10-05,Drag Me to Hell,2009,https://boxd.it/1Jzw
2023-10-07,Children of the Corn,1984,https://boxd.it/1ViW
2023-10-07,The Boy,2016,https://boxd.it/apZi
2023-10-09,The Man Who Knew Infinity,2015,https://boxd.it/bTpm
2023-10-09,A Beautiful Mind,2001,https://boxd.it/2amk
2023-10-10,Braindead,1992,https://boxd.it/29Gy
2023-10-11,Doctor Sleep,2019,https://boxd.it/i5vI
2023-10-14,Friday the 13th Part 2,1981,https://boxd.it/1XXC
2023-10-22,Killers of the Flower Moon,2023,https://boxd.it/gHp0
2023-10-22,The Father,2020,https://boxd.it/m8Ie
2023-10-23,Freaky,2020,https://boxd.it/ka42
2023-10-23,The Invisible Man,2020,https://boxd.it/kWlA
2023-10-23,Intruders,2015,https://boxd.it/aZZy
2023-10-24,Skinamarink,2022,https://boxd.it/ByDO
2023-10-24,High Life,2018,https://boxd.it/d6bk
2023-10-24,Emma.,2020,https://boxd.it/kmg0
2023-10-25,The Revenant,2015,https://boxd.it/8H5e
2023-10-28,30 Days of Night,2007,https://boxd.it/24dw
2023-10-29,Noroi: The Curse,2005,https://boxd.it/1BN6
2023-10-30,Boo,2005,https://boxd.it/1DS8
2023-11-01,Babel,2006,https://boxd.it/292o
2023-11-01,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk
2023-11-04,Watchmen,2009,https://boxd.it/1QE4
2023-11-08,Sweet November,2001,https://boxd.it/27QQ
2023-11-09,Jojo Rabbit,2019,https://boxd.it/iEBG
2023-11-15,The Medium,2021,https://boxd.it/s0oi
2023-11-28,The Guardian,1990,https://boxd.it/1hRC
2023-12-11,8½,1963,https://boxd.it/2aqm
2023-12-11,Onibaba,1964,https://boxd.it/252a
2023-12-11,The Magician,1958,https://boxd.it/1nse
2023-12-11,The Red and the White,1967,https://boxd.it/xTM
2023-12-11,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/2440
2023-12-11,Fallen Angels,1995,https://boxd.it/1UkW
2023-12-11,"Girl, Interrupted",1999,https://boxd.it/25ds
2023-12-11,Summer of 84,2018,https://boxd.it/gQYe
2023-12-12,Raw,2016,https://boxd.it/dLd2
2023-12-13,The Celebration,1998,https://boxd.it/2aCM
